"","Reviewers","Reviews","Ratings","Date","TextReviews"
"1","DiCaprioFan1"," One of the best sitcoms of all-time!","","29 September 2022","What can be said about Friends that hasn't already been said? It's easily one of the best sitcoms of all-time. It's on every ""best sitcoms ever"" list for a reason...because it is! If that doesn't convince you just read through these reviews and you'll see just how loved this show really is. The cast is perfect, not a weak link on the entire show. Almost everyone can find someone on the show that they identify with. I've seen every episode numerous times (considering it's always on) and I still laugh just as much on every watch as I did the first time I watched it. I'll continue to watch reruns and laugh and I doubt that I'll ever get bored with this show."
"2","Supermanfan-13"," Just as funny today!","10/10","16 May 2022","I still love Friends as much now than I did when it was on 15-20 years ago. It's just one of those all-time great sitcoms that are just as funny watching reruns as it was watching for the first time! Not many shows are just as funny today as they were 15-20 years ago but Friends is absolutely one of those shows! All 6 characters are almost equally as funny! This truly is one of the best comedies that has ever been made!"
"3","Silverzero"," Still as funny as it was when it started back in '94","","18 January 2003","People are saying that friends is running out of ideas and that the humour is getting dull. Running out of ideas? possibly. Humour getting feeble? absolutely not. In fact it's getting better. OK, so perhaps they're beginning to ""pair up"" the six of them, but so what. Chandler's sarcasm is still as funny as ever. Monica's quirkiness still works. Phoebe's goofiness still brings about a smile. And Joey,Rachel and Ross are still as funny as they always were. So stop being a bunch of cynics and enjoy the show while it's still on."
"4","jose990"," RIP Chandler","10/10","29 October 2023","I never used to watch this show. My wife loved this show and whenever she would watch it I would never pay attention because I had no interest in it. But then one day I happen to look up and see something funny and I got hooked. Out of all the characters on this show the one I can relate to the most was Chandler.I started watching all the reruns with my wife all the time on TBS. But after my wife passed away in September of last year I just can't bring myself to watch the show. All I have to say is the show is definitely worth watching and it was sad to see it go.Thank you Matthew for making me and my wife laugh. Rest in peace."
"5","rossrobinson"," fantastic","","12 November 2003","Friends has got to be one of the best Us Sitcom comedys ever. I'll be sad for this programme to end next year in 2004 because the whole team did such a fantastic effort to put everthing into this series. It was such a great programme and i think it will always will be. After 10 seasons the programme comes to it's end. I give this 10 out of 10."
"6","Mangalassery_Neelakandan"," FINE WINE","9/10","24 August 2022","The series aged like fine wine. I finished this whole series within a month like 236 episodes or more like 78 hours of content, that's how much interesting this series is. Some cliff hangers at the end of seasons is very suspenseful that i couldn't wait to watch the next season. Joey, Phoebe, Chandler, Monica, Ross & Rachel we like my friends by the end of the series. The comedic timing and all the funny elements of the show is on point. And the most important fact is that after finishing the series we could just start the series all over again and feel fresh. It has an immense amount of repeat value that we wouldn't get bored even after watching several times. I could go on for pages but the memes, the sitcom references, the stars the show created all speak form them selves."
"7","Moviebility"," Go-To show when you're sad","","18 October 2022","I won't lie when I say I'm probably one of the people who think this show is not funny. This has been recommended to me multiple times before I actually did give it a try. The first episode was meh but I kept watching until I found myself actually loving this show and it's really good and super chill. I think you actually have to know the characters more for you to appreciate their humor. This show is one of my go-to's when I'm feeling so down. Friends is so overrated and is always in most people's recommendations that you just keep on scrolling past through the list but seriously it's a good show and worth giving a shot!"
"8","Pookyiscute"," One of the best t.v. shows ever!","10/10","23 March 2004","Easily in my top five category of funniest and best shows in prime time history.Everyone on this show is so witty and delivers their lines superbly that it's hard not to like all of them equally.  However, I do have my favorite characters/actors/actresses, as I'm sure everyone who has watched the show even once or twice, to those who are avid fans of it.We'll start from least favorite to best character/actor.Matt Le Blanc/Joey Tribbiani:Although some might say, because of his boyish good looks, his cute jokes that he delivers now and then (very well, mind you), and his ability to make you feel sweet and sorry for him at the same time, he is a great actor, and plays his part as Joey Tribbiani really well, he's probably my least favorite on the show.  I love him, don't get me wrong, but I just appreciate everyone else's talents on the show much more.Jennifer Aniston/Rachel Green: Rachel Green is a fun-loving, cute little waitress, who seems to always have trouble finding Mr. Right, who is plainly right in front of her 24/7.  Who is that, you ask?  Well, obviously Ross Gellar.  Her roommate Monica's brother.  Rachel is undoubtedly most everyone's favorite character who watches this show, just not mine.  Sometimes her personality can get a little annoying, and although I like her better than Joey, not very much more.  But, that doesn't go without saying that I don't love her in movies. Because, well, I do.Courtney Cox/Monica Gellar:It's hard to put Monica Gellar so far down the list, but if I have to make room for the other three, than so be it. As much as I love her on this show, she's just not as good as she is in the 'Scream' trilogy.  But, she certainly does a good job convincing you that she hates to be wrong, has to have everything her way, and is a real trooper with most all of her challenges on the show, that the writers give her.Lisa Kudrow/Pheobe Buffey: Now, I love Lisa Kudrow.  She is definitely one of the funniest woman comedians, which is why I classify her as my favorite female on the show. She outdid herself in 'Romy And Michele's High School Reunion', but she's extraordinary on this show.  She's so ingenious with her comedy which is no doubt why she's won several awards for her role on the program.David Schwimmer/Ross Gellar:It's so funny to me that I like him so much.  He's not the best actor in my opinion, but he was really good in Kissing A Fool, and really just ok in The Pallbearer, but my second favorite on the show.  He's so funny and he cracks me up with all of his facial expressions and the excellent way he delivers his lines.  He is definitely my second favorite character and actor on the show.Matthew Perry/Chandler Bing:They should have a shrine dedicated to this man.  He is so outstandingly funny in every single project that he works on!  He is so hysterical and a true actor in everything that he does, it is amazing that someone can be so talented.  I wish that he were given more roles than just the few comedies he's been in, including Friends. But, he is such a great character on the show, it's hard to picture the program without him. With that being said, I would also like to add that he is not only the best actor on the show, and one of my personal favorites, but I also believe that he would be such a great dramatic actor if given the chance.  If you've seen him in 'She's Out Of Control' you'll know what I'm talking about.So, with that I give this show a definite 10/10.  It's one of the best shows to come out within the last ten years, and definitely on my top five best shows of all time list.And that's my review."
"9","RahulM007"," The One that started it all!!!!!!!!","","25 October 2019","I started watching Friends this year and found it hilarious and amazingly written. The writing of the show is flawless. It truly is the funniest comedy I have ever seen. Each character is unique in its own way. The levity in the show is not what you would expect.Joey is the funniest character and his quirks and funny one liners never get old. He taught me to always have a humorous mind set in life and to not worry about what other people think if I do not understand something. Joey is in many ways the womanizer of the group and does not care too much what other people think and perceive of him. It is strange seeing him on the Joey show without Ross, Rachel, Chandler, Monica and Phoebe. He was a much better and funnier character on Friends. To be candid, I am not surprised that the Joey show got cancelled after two seasons.Ross is a character who got funnier over the course of the series. Introduced as a guy who got divorced by his lesbian wife, Ross built up quite a reputation. His relationship with Rachel had its ups and downs, but I always knew they were meant to be together. The writers and producers even teased their relationship in the series premiere. Ross's funniest line of the entire series is undoubtedly ""We were on a break"".Chandler is a character who changed and evolved the most. He was introduced as a guy who made sarcastic jokes about literally everything and never wanted to settle down with someone. He underwent a massive change in his life in the sixth season of the show. Season 6 was a major status quo shift for him.Rachel is a character who was introduced as this spoiled rich girl and slowly became successful and independent. She taught me that it is never too late to grow up and to never give up.Phoebe taught me to seize the day and savor every moment of life. Introduced as a person who never wanted to settle down with someone, that changed dramatically when she met Mike.Monica is a character who developed as a character and really found herself in season 5 when she started dating Chandler. I never expected Chandler and Monica to end up together. The phrase ""opposites attract"" is particularly true for them. Monica taught me to have an open mind and be bold.In a nutshell, Friends has something for everyone. It sheds a light on a variety of issues that are topical today. It is the funniest comedy I have ever seen. It is better than Two and a half men and The Big Bang Theory combined. Every episode is hilarious and makes you happy. For me, it does not decrease in quality nor are there terrible episodes. To be candid, no show can surpass Friends for its hilarity."
"10","dee-regan"," Goodnight Chandler Bing","9/10","29 October 2023","I must've have rewatched these 10 series dozens of times since it first aired.After hearing the devastating news this morning that Matthew Perry had passed away, I'm watching it with a new pair of slightly sadder eyes.'Friends' got me through a sad and difficult childhood. Sitting down to watch the new episodes at 9pm every Friday on channel 4, was one of the only things I can remember my family did together with no arguments.First watched as a 12 year old, not getting most of the jokes, but laughing (mostly at Chandler!) all the way through each episode ....and now watching as a 40 year old, understanding far too well all the troubles of love and work, and life and friendship.What a brilliant show."
