"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","clothing","Champion Women's Classic Tee","Gayathri","Loved the fit and quality, would recommend!","Verified Purchase","Reviewed in Australia on 27 January 2022","4.5 out of 5 stars"
"2","clothing","Champion Women's Classic Tee","Aryana","It’s a nice fit (even tho I like my tees on the big side) Go up a size of you are not sure. They are very thin as I was expecting it to be on the thicker material.","Verified Purchase","Reviewed in Australia on 27 October 2022","5.0 out of 5 stars"
"3","clothing","Champion Women's Classic Tee","Lutz Kimpel","Top👍","Verified Purchase","Reviewed in Germany on 24 June 2021","3.0 out of 5 stars"
"4","clothing","Champion Women's Classic Tee","Arturo","Muy bonita, buena tela y lo más importante si es original","Verified Purchase","Reviewed in Mexico on 25 May 2023","5.0 out of 5 stars"
"5","clothing","Champion Women's Classic Tee","Karina","True size, good quality, perfect price.","Verified Purchase","Reviewed in Canada on 25 October 2023","5.0 out of 5 stars"
"6","clothing","Champion Women's Classic Tee","Amazon Customer","For the size chart- go by your apparel size rather than measurements. I normally wear size 10 so could have ordered a med or large... but my bust is 42inches so I got XL and the shirt is huge on me lol it's like a men's XL. Still happy. The light purple is so pretty. I would order another one in a smaller size but they sold out :(","Verified Purchase","Reviewed in Canada on 24 February 2022","5.0 out of 5 stars"
"7","clothing","Champion Women's Classic Tee","Annie","Love Champion classic tees. This is my 3rd and will probably get more.  Soft  fabric that holds its shape after many washes.  I prefer the Classic over the Boyfriend tee, for the fabric is a little thinner and much softer.","Verified Purchase","Reviewed in the United States on 8 April 2021","5.0 out of 5 stars"
"8","clothing","Champion Women's Classic Tee","Candy Tio","Suitable for summer. Can’t find the brand in S’pore retail shop. Love the shape of the T shirts. No tight fittings.","Verified Purchase","Reviewed in Singapore on 18 March 2024","5.0 out of 5 stars"
"9","clothing","Champion Women's Classic Tee","Candy Tio","Bestes Shirt!","Verified Purchase","Reviewed in Germany on 15 September 2020","5.0 out of 5 stars"
"10","clothing","Champion Women's Classic Tee","Jasmina","Product picture is a hoodie, but I got a T-shirt. I don't want to waste time to return so just keep it. Please correct the picture to avoid confusing people.","Verified Purchase","Reviewed in Canada on 16 June 2021","5.0 out of 5 stars"
"11","clothing","Champion Women's Classic Tee","Amanda Anne","I ordered a long sleeve shirt and was sent a t-shirt. The t-shirt was in my normal size but was about 4 sizes too small and basically a cropped top because it's so short","Verified Purchase","Reviewed in Canada on 23 May 2021","4.5 out of 5 stars"
"12","clothing","Champion Women's Classic Tee","tanja","Super good","Verified Purchase","Reviewed in Germany on 15 March 2021","1.0 out of 5 stars"
