"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Gloves","THE NORTH FACE Etip Summit Gloves Navy","OfADifferentMind","I have purchased this type North Face e-tip gloves and used them daily in every season except summer since I got my very first iPhone more than 10 years ago. They are sturdy but not bulky, and the e-tips work well with my phone & tablet touch screens — and they keep working.The slight non-slip texturing on the palm & lower part of the fingers mean I can wear them while I drive & not worry about my hand sliding around while gripping the wheel. Other, cheaper gloves I tried that appear to be similar (especially when shopping online) either lacked the texturing — making them dangerously slippery when driving — or were overly grippy & required extra effort to release a hand to move it around on the steering wheel, which slowed my ability to respond quickly.They aren’t cheap, but they keep my arthritic hands fairly warm while enabling me to still use my phone — and these e-tips keep working, even under heavy use, unlike with the numerous other brands of cheaper gloves I’ve tried.The one trade off for the great touch screen capability is that they can’t be thicker & warmer ... but I & my husband really like that we can easily wear these inside of super warm, but super bulky snowboarding/skiing gloves.  These e-tip gloves are slippery enough that it’s easy to pull the bulky gloves on & off, and be able to instantly use a touch screen without having to be bare handed in single digit & sub-zero temperatures.The material also doesn’t easily absorb moisture from the outside — so you don’t end up with a cold & wet glove from just brushing some snow of your car’s side mirror ... and yet we’ve never had any problem with the gloves causing hands to get sweaty, so it seems like it does a good job of wicking away any inner moisture.I’ve purchased over a dozen pairs for myself & my husband in the last decade ... 2/3 of them for me because I keep losing gloves — and it’s almost always my right hand glove because there are times when I just need to have a slightly more refined touch/dexterity with my dominant hand than I can get with these, OR ANY of the other brands/models of gloves I’ve tried.  This isn’t the fault of the gloves —  I just include this to explain why I’ve purchased so many pairs of these gloves.","Verified Purchase","Reviewed in the United States on 10 January 2021","4.4 out of 5 stars"
"2","Gloves","THE NORTH FACE Etip Summit Gloves Navy","Bohlen","Amazing gloves! I got a LG. Size. Should have gotten a Med. You can literally play in the snow No absorption. Snow balls the whole 9. Hands warm and dry.  I did order a Med pair. Of the same glove.","Verified Purchase","Reviewed in the United States on 7 February 2022","5.0 out of 5 stars"
"3","Gloves","THE NORTH FACE Etip Summit Gloves Navy","P","Amazing & warm","Verified Purchase","Reviewed in the United Kingdom on 11 February 2021","5.0 out of 5 stars"
"4","Gloves","THE NORTH FACE Etip Summit Gloves Navy","Rich","I have nothing to make fun of or jape about… sad for me, great gloves though!","Verified Purchase","Reviewed in the United States on 22 November 2023","5.0 out of 5 stars"
"5","Gloves","THE NORTH FACE Etip Summit Gloves Navy","Autumn","Gloves arrived but the finger tips on one hand had moderate snagging and loose thread","Verified Purchase","Reviewed in the United States on 25 January 2024","5.0 out of 5 stars"
"6","Gloves","THE NORTH FACE Etip Summit Gloves Navy","Miguel Olivera","It really works with the mobile screen and its comfortable to use. Maybe it can be a bit more loose in the wrist part, but overall it fits well with my hands","Verified Purchase","Reviewed in the United States on 5 November 2022","2.0 out of 5 stars"
"7","Gloves","THE NORTH FACE Etip Summit Gloves Navy","Sanders","Don’t think about doing fine touch tracking with gloves but it does the job. At freezing temp this is just barely enough for bicycling but should suffice for walking. Very expensive, tho","Verified Purchase","Reviewed in Canada on 12 November 2023","5.0 out of 5 stars"
"8","Gloves","THE NORTH FACE Etip Summit Gloves Navy","MPA1211","I love these North Face gloves. They are thin yet warm and you can also use your phone while wearing. You dont need to take ghem off to text/answer a call, etc.  They stand up to the North Face excellence","Verified Purchase","Reviewed in the United States on 8 February 2024","4.0 out of 5 stars"
"9","Gloves","THE NORTH FACE Etip Summit Gloves Navy","Vladimir Travalja","Great gloves. Although not for cold winter. You will need extra layer for that","Verified Purchase","Reviewed in Germany on 6 September 2023","5.0 out of 5 stars"
"10","Gloves","THE NORTH FACE Etip Summit Gloves Navy","Iskandar","Gives decent protection from the cold, but, not for more extreme temperatures; just as effective as putting your hands in your jacket pocket. You can indeed tap your phone's touch screen with these gloves, just not for precise touch screen actions.","Verified Purchase","Reviewed in Singapore on 1 January 2023","4.0 out of 5 stars"
