"","Title","Author","Subject","Abstract","Meta"
"1","FeNNol: an Efficient and Flexible Library for Building Force-field-enhanced Neural Network Potentials","Thomas Plé, Olivier Adjoua, Louis Lagardère, Jean-Philip Piquemal","Chemical Physics (physics.chem-ph)","Neural network interatomic potentials (NNPs) have recently proven to be powerful tools to accurately model complex molecular systems while bypassing the high numerical cost of ab-initio molecular dynamics simulations. In recent years, numerous advances in model architectures as well as the development of hybrid models combining machine-learning (ML) with more traditional, physically-motivated, force-field interactions have considerably increased the design space of ML potentials. In this paper, we present FeNNol, a new library for building, training and running force-field-enhanced neural network potentials. It provides a flexible and modular system for building hybrid models, allowing to easily combine state-of-the-art embeddings with ML-parameterized physical interaction terms without the need for explicit programming. Furthermore, FeNNol leverages the automatic differentiation and just-in-time compilation features of the Jax Python library to enable fast evaluation of NNPs, shrinking the performance gap between ML potentials and standard force-fields. This is demonstrated with the popular ANI-2x model reaching simulation speeds nearly on par with the AMOEBA polarizable force-field on commodity GPUs (GPU=Graphics processing unit). We hope that FeNNol will facilitate the development and application of new hybrid NNP architectures for a wide range of molecular simulation problems.","Thu, 2 May 2024 17:25:32 UTC (2,347 KB)"
"2","Experimental demonstration of frequency downconverted arm length stabilization for a future upgraded gravitational wave detector","Satoshi Tanioka, Bin Wu, Stefan W. Ballmer","Optics (physics.optics)","Ground-based laser interferometric gravitational wave detectors consist of complex multiple optical cavity systems. An arm-length stabilization (ALS) system has played an important role in bringing such complex detector into operational state and enhance the duty cycle. The sensitivity of these detectors can be improved if the thermal noise of their test mass mirror coatings is reduced. Crystalline AlGaAs coatings are a promising candidate for this. However, traditional ALS system with frequency-doubled 532 nm light is no longer an option with AlGaAs coatings due to the narrow bandgap of GaAs, thus alternative locking schemes must be developed. In this letter, we describe an experimental demonstration of a novel ALS scheme which is compatible with AlGaAs coatings. This ALS scheme will enable the use of AlGaAs coatings and contribute to improved sensitivity of future detectors.","Thu, 2 May 2024 17:08:11 UTC (930 KB)"
"3","On-demand shaped photon emission based on a parametrically modulated qubit","Xiang Li, Sheng-Yong Li, Si-Lu Zhao, Zheng-Yang Mei, Yang He, Cheng-Lin Deng, Yu Liu, Yan-Jun Liu, Gui-Han Liang, Jin-Zhe Wang, Xiao-Hui Song, Kai Xu, Fan Heng, Yu-Xiang Zhang, Zhong-Cheng Xiang, Dong-Ning Zheng","Quantum Physics (quant-ph)","In the circuit quantum electrodynamics architectures, to realize a long-range quantum network mediated by flying photon, it is necessary to shape the temporal profile of emitted photons to achieve high transfer efficiency between two quantum nodes. In this work, we demonstrate a new single-rail and dual-rail time-bin shaped photon generator without additional flux-tunable elements, which can act as a quantum interface of a point-to-point quantum network. In our approach, we adopt a qubit-resonator-transmission line configuration, and the effective coupling strength between the qubit and the resonator can be varied by parametrically modulating the qubit frequency. In this way, the coupling is directly proportional to the parametric modulation amplitude and covers a broad tunable range beyond 20 MHz for the sample we used. Additionally, when emitting shaped photons, we find that the spurious frequency shift (-0.4 MHz) due to parametric modulation is small and can be readily calibrated through chirping. We develop an efficient photon field measurement setup based on the data stream processing of GPU. Utilizing this system, we perform photon temporal profile measurement, quantum state tomography of photon field, and quantum process tomography of single-rail quantum state transfer based on a heterodyne measurement scheme. The single-rail encoding state transfer fidelity of shaped photon emission is 90.32%, and that for unshaped photon is 97.20%, respectively. We believe that the fidelity of shaped photon emission is mainly limited by the qubit coherence time. The results demonstrate that our method is hardware efficient, simple to implement, and scalable. It could become a viable tool in a high-quality quantum network utilizing both single-rail and dual-rail time-bin encoding.","Thu, 2 May 2024 16:53:54 UTC (1,597 KB)"
"4","UQA: Corpus for Urdu Question Answering","Samee Arif, Sualeha Farid, Awais Athar, Agha Ali Raza","Computation and Language (cs.CL)","This paper introduces UQA, a novel dataset for question answering and text comprehension in Urdu, a low-resource language with over 70 million native speakers. UQA is generated by translating the Stanford Question Answering Dataset (SQuAD2.0), a large-scale English QA dataset, using a technique called EATS (Enclose to Anchor, Translate, Seek), which preserves the answer spans in the translated context paragraphs. The paper describes the process of selecting and evaluating the best translation model among two candidates: Google Translator and Seamless M4T. The paper also benchmarks several state-of-the-art multilingual QA models on UQA, including mBERT, XLM-RoBERTa, and mT5, and reports promising results. For XLM-RoBERTa-XL, we have an F1 score of 85.99 and 74.56 EM. UQA is a valuable resource for developing and testing multilingual NLP systems for Urdu and for enhancing the cross-lingual transferability of existing models. Further, the paper demonstrates the effectiveness of EATS for creating high-quality datasets for other languages and domains. The UQA dataset and the code are publicly available at this http URL.","Thu, 2 May 2024 16:44:31 UTC (978 KB)"
"5","Natural Language to Verilog: Design of a Recurrent Spiking Neural Network using Large Language Models and ChatGPT","Paola Vitolo, George Psaltakis, Michael Tomlinson, Gian Domenico Licciardo, Andreas G. Andreou","Hardware Architecture (cs.AR)","This paper investigates the use of Large Language Models (LLMs) for automating the generation of hardware description code, aiming to explore their potential in supporting and enhancing the development of efficient neuromorphic computing architectures. Building on our prior work, we employ OpenAI's ChatGPT4 and natural language prompts to synthesize a RTL Verilog module of a programmable recurrent spiking neural network, while also generating test benches to assess the system's correctness. The resultant design was validated in three case studies, the exclusive OR,the IRIS flower classification and the MNIST hand-written digit classification, achieving accuracies of up to 96.6%. To verify its synthesizability and implementability, the design was prototyped on a field-programmable gate array and implemented on SkyWater 130 nm technology by using an open-source electronic design automation flow. Additionally, we have submitted it to Tiny Tapeout 6 chip fabrication program to further evaluate the system on-chip performance in the future.","Thu, 2 May 2024 16:08:08 UTC (4,092 KB)"
"6","Unsupervised Flow Discovery from Task-oriented Dialogues","Patrícia Ferreira, Daniel Martins, Ana Alves, Catarina Silva, Hugo Gonçalo Oliveira","Computation and Language (cs.CL)","The design of dialogue flows is a critical but time-consuming task when developing task-oriented dialogue (TOD) systems. We propose an approach for the unsupervised discovery of flows from dialogue history, thus making the process applicable to any domain for which such an history is available. Briefly, utterances are represented in a vector space and clustered according to their semantic similarity. Clusters, which can be seen as dialogue states, are then used as the vertices of a transition graph for representing the flows visually. We present concrete examples of flows, discovered from MultiWOZ, a public TOD dataset. We further elaborate on their significance and relevance for the underlying conversations and introduce an automatic validation metric for their assessment. Experimental results demonstrate the potential of the proposed approach for extracting meaningful flows from task-oriented conversations.","Thu, 2 May 2024 15:54:36 UTC (873 KB)"
"7","Development of the strip LGAD detector with double-end readout for future colliders","Weiyi Sun, Mengzhao Li, Tianyuan Zhang, Mei Zhao, Yunyun Fan, Shuqi Li, Yuan Feng, Xinhui Huang, Xuan Yang, Wei Wang, Zhijun Liang, Yuekun Heng","Instrumentation and Detectors (physics.ins-det)","The Low-Gain Avalanche Diode (LGAD) is a new silicon detector and holds wide application prospects in particle physics experiments due to its excellent timing resolution.
The LGAD with a pixel size of 1.3 mm $\times$ 1.3 mm was used to construct a High Granularity Timing Detector (HGTD) in ATLAS experiments to solve the pile-up problem.
Meanwhile, the Circular Electron Positron Collider (CEPC) also proposes detectors using the LGAD. However, pixel LGAD exhibits higher readout electronics density and cost, which somewhat limits the application of LGADs. To decrease the readout electronics density, the Institute of High Energy Physics (IHEP) of the Chinese Academy of Sciences has designed strip LGADs with larger areas. These strip LGADs are all 19 mm in length but with different widths of 1.0 mm, 0.5 mm, and 0.3 mm.
This article provides a detailed introduction to the design parameters of these strip LGADs and tests their electrical characteristics, including leakage current, break-down voltage, depletion capacitance, etc.
The timing resolution and signal-to-noise ratio of the three strip LGAD sensors were investigated using a beta source test system.
The position resolution parallel to the strip direction was tested and analyzed for the first time using a pico-second laser test system.
Tests have demonstrated that the timing resolution of strip LGADs can reach about 37.5 ps, and position resolution parallel to the strip direction is better than 1 mm.","Thu, 2 May 2024 15:37:02 UTC (3,523 KB)"
"8","LLMSat: A Large Language Model-Based Goal-Oriented Agent for Autonomous Space Exploration","David Maranto","Robotics (cs.RO)","As spacecraft journey further from Earth with more complex missions, systems of greater autonomy and onboard intelligence are called for. Reducing reliance on human-based mission control becomes increasingly critical if we are to increase our rate of solar-system-wide exploration. Recent work has explored AI-based goal-oriented systems to increase the level of autonomy in mission execution. These systems make use of symbolic reasoning managers to make inferences from the state of a spacecraft and a handcrafted knowledge base, enabling autonomous generation of tasks and re-planning. Such systems have proven to be successful in controlled cases, but they are difficult to implement as they require human-crafted ontological models to allow the spacecraft to understand the world. Reinforcement learning has been applied to train robotic agents to pursue a goal. A new architecture for autonomy is called for. This work explores the application of Large Language Models (LLMs) as the high-level control system of a spacecraft. Using a systems engineering approach, this work presents the design and development of an agentic spacecraft controller by leveraging an LLM as a reasoning engine, to evaluate the utility of such an architecture in achieving higher levels of spacecraft autonomy. A series of deep space mission scenarios simulated within the popular game engine Kerbal Space Program (KSP) are used as case studies to evaluate the implementation against the requirements. It is shown the reasoning and planning abilities of present-day LLMs do not scale well as the complexity of a mission increases, but this can be alleviated with adequate prompting frameworks and strategic selection of the agent's level of authority over the host spacecraft. This research evaluates the potential of LLMs in augmenting autonomous decision-making systems for future robotic space applications.","Sat, 13 Apr 2024 03:33:17 UTC (32,522 KB)"
"9","High-frequency tails in spectral densities","Roman Korol, Xinxian Chen, Ignacio Franco","Chemical Physics (physics.chem-ph)","Recent developments in numerically exact quantum dynamics methods have brought the dream of calculating the dynamics of chemically complex open systems closer to reality. Path-integral-based methods, hierarchical equations of motion (HEOM) and quantum analog simulators all require the spectral density of the environment to describe its effect on the system. Here we find that the rate of slow population relaxation is sensitive to the precise functional form used to describe the spectral density peaks. This finding highlights yet another challenge to obtaining accurate spectral densities. In the context of quantum information science, we give a simple recipe to adjust the results of analog simulation for this difference assuming both the simulator and the target spectral densities are known.","Thu, 2 May 2024 15:23:22 UTC (183 KB)"
"10","An Advanced Framework for Ultra-Realistic Simulation and Digital Twinning for Autonomous Vehicles","Yuankai He, Hanlin Chen, Weisong Shi","Robotics (cs.RO)","Simulation is a fundamental tool in developing autonomous vehicles, enabling rigorous testing without the logistical and safety challenges associated with real-world trials. As autonomous vehicle technologies evolve and public safety demands increase, advanced, realistic simulation frameworks are critical. Current testing paradigms employ a mix of general-purpose and specialized simulators, such as CARLA and IVRESS, to achieve high-fidelity results. However, these tools often struggle with compatibility due to differing platform, hardware, and software requirements, severely hampering their combined effectiveness. This paper introduces BlueICE, an advanced framework for ultra-realistic simulation and digital twinning, to address these challenges. BlueICE's innovative architecture allows for the decoupling of computing platforms, hardware, and software dependencies while offering researchers customizable testing environments to meet diverse fidelity needs. Key features include containerization to ensure compatibility across different systems, a unified communication bridge for seamless integration of various simulation tools, and synchronized orchestration of input and output across simulators. This framework facilitates the development of sophisticated digital twins for autonomous vehicle testing and sets a new standard in simulation accuracy and flexibility. The paper further explores the application of BlueICE in two distinct case studies: the ICAT indoor testbed and the STAR campus outdoor testbed at the University of Delaware. These case studies demonstrate BlueICE's capability to create sophisticated digital twins for autonomous vehicle testing and underline its potential as a standardized testbed for future autonomous driving technologies.","Thu, 2 May 2024 14:32:07 UTC (1,845 KB)"
